step,epoch,total_loss,loss_data,loss_haslach,loss_pako,loss_bc_base,loss_bc_tip
0,100,6.781560897827148,3.741133269841157e-08,5.640204472001642e-05,1.7000040486436774e-08,2.7718702000356643e-08,0.06780996173620224
1,100,3.7648062705993652,8.048908739510807e-08,5.6864708312787116e-05,1.5644236128764533e-08,1.0096096048073377e-07,0.03764236345887184
2,100,0.052940733730793,5.018414412916172e-07,5.672570478054695e-05,1.5168582834235167e-08,4.07276132818879e-07,0.0005236888537183404
3,100,2.989096164703369,2.035984607573482e-06,5.60959342692513e-05,1.5148685861277045e-08,7.045820211715181e-07,0.02988526038825512
4,100,9.099531173706055,6.332970315270359e-06,5.52272358618211e-05,1.5299582045713578e-08,9.258028512704186e-07,0.09098964184522629
5,100,9.199357032775879,1.3775598745269235e-05,5.4427691793534905e-05,1.535777194305865e-08,1.0785834092530422e-06,0.09198788553476334
6,100,3.1386184692382812,2.1847426978638396e-05,5.396829146775417e-05,1.5101793593430557e-08,1.1635007695076638e-06,0.03138045221567154
7,100,0.032053712755441666,2.6777897801366635e-05,5.398820212576538e-05,1.4559159211557926e-08,1.1513833442222676e-06,0.000314755248837173
8,100,3.6130881309509277,2.6911404347629286e-05,5.443444388220087e-05,1.4054522878836906e-08,1.0086297379530151e-06,0.0361250676214695
9,100,6.724966049194336,2.3982840502867475e-05,5.5068267101887614e-05,1.3996267256288775e-08,7.45446754990553e-07,0.06724383682012558
