step,epoch,step_loss,loss_data,loss_haslach,loss_pako,loss_ic,loss_bc_base,loss_bc_tip
0,1,86.31002044677734,0.004032548051327467,86.22701263427734,4.704142156697344e-06,0,0.0,0.007896252907812595
1,1,8.0647611618042,0.0004363217740319669,8.017559051513672,3.834918516076868e-06,0,0.0,0.004676181823015213
2,1,28.868038177490234,0.001342116273008287,28.776485443115234,1.361339400318684e-06,0,0.0,0.00902085192501545
3,1,8.832626342773438,0.0004221532435622066,8.768141746520996,1.6112735465867445e-06,0,0.0,0.006405999884009361
4,1,3.5066616535186768,0.0001843855861807242,3.469865560531616,2.4696132641111035e-06,0,0.0,0.003660948947072029
5,1,3.1700246334075928,0.0001751544332364574,3.1376845836639404,2.3662571493332507e-06,0,0.0,0.0032162326388061047
6,1,2.0705759525299072,0.00010190800821874291,2.02872896194458,2.1523417217395036e-06,0,0.0,0.004174308385699987
7,1,1.3533202409744263,6.00015846430324e-05,1.2938358783721924,2.2134593109512934e-06,0,0.0,0.005942211952060461
8,1,1.2392131090164185,5.556646647164598e-05,1.1649045944213867,2.3246007003763225e-06,0,0.0,0.007425054907798767
9,1,1.3149161338806152,6.390628550434485e-05,1.2325698137283325,2.2033416371414205e-06,0,0.0,0.008228033781051636
10,1,0.6852176785469055,3.552901034709066e-05,0.5947271585464478,1.8828526435754611e-06,0,0.0,0.009045311249792576
11,1,0.4983001947402954,2.2204965716809966e-05,0.3932127058506012,1.4872641713736812e-06,0,0.0,0.01050637848675251
12,1,0.7979974746704102,3.1392803066410124e-05,0.668936550617218,1.2223441672176705e-06,0,0.0,0.012902824208140373
13,1,0.5358721613883972,1.5693380191805772e-05,0.37821194529533386,1.1455850881247898e-06,0,0.0,0.01576433889567852
14,1,0.3016165792942047,4.921524123346899e-06,0.1141243502497673,1.2624224154933472e-06,0,0.0,0.018748605623841286
15,1,0.5833420157432556,2.2326525140670128e-05,0.36549752950668335,1.2700957086053677e-06,0,0.0,0.02178208716213703
16,1,0.4352378845214844,1.2675357538682874e-05,0.17817173898220062,1.0870845699173515e-06,0,0.0,0.025705238804221153
17,1,0.4645283818244934,6.1014038692519534e-06,0.15763993561267853,7.966785915414221e-07,0,0.0,0.030688157305121422
18,1,0.5787688493728638,8.566252290620469e-06,0.2214391678571701,7.19044066954666e-07,0,0.0,0.03573204204440117
19,1,0.4735298156738281,4.050582901982125e-06,0.06572043150663376,7.966279440552171e-07,0,0.0,0.040780454874038696
20,1,0.6342936754226685,3.5903397019865224e-06,0.172217458486557,7.75073999648157e-07,0,0.0,0.046207185834646225
21,1,0.6655928492546082,1.8269214479005313e-06,0.1497800648212433,6.533176133416418e-07,0,0.0,0.05158103257417679
22,1,0.7548575401306152,1.2582711860886775e-05,0.19246748089790344,5.135040623827081e-07,0,0.0,0.05623769760131836
23,1,0.8614508509635925,1.519082343293121e-05,0.2469574511051178,4.494809502375574e-07,0,0.0,0.06144777312874794
24,1,0.8833194971084595,3.7765310025861254e-06,0.21141500771045685,4.3860606524503964e-07,0,0.0,0.0671900287270546
25,1,1.0368696451187134,1.4540419215336442e-05,0.33989962935447693,4.904823640572431e-07,0,0.0,0.06969549506902695
26,1,1.0330889225006104,9.468184543948155e-06,0.3057190477848053,6.872388667034102e-07,0,0.0,0.07273596525192261
27,1,1.12628173828125,4.88673913423554e-06,0.4199732542037964,1.0930568805633811e-06,0,0.0,0.07063025236129761
28,1,1.1144282817840576,1.4361264220497105e-05,0.44750282168388367,1.64436164595827e-06,0,0.0,0.06669095158576965
29,1,1.1690956354141235,2.820062763930764e-05,0.5553603172302246,2.8547381134558236e-06,0,0.0,0.061370428651571274
30,1,1.0983264446258545,1.1248715054534841e-05,0.5323613882064819,4.021634595119394e-06,0,0.0,0.05659497529268265
31,1,1.140468716621399,3.881449083564803e-05,0.6589317917823792,5.978844455967192e-06,0,0.0,0.048149216920137405
32,1,1.1879818439483643,2.062572275463026e-05,0.7757270932197571,8.42368262965465e-06,0,0.0,0.041222576051950455
33,1,1.066932201385498,2.4448763724649325e-05,0.7398312091827393,1.1725970580300782e-05,0,0.0,0.032706476747989655
34,1,1.207075595855713,7.608508894918486e-05,0.9509209394454956,1.679622619121801e-05,0,0.0,0.025606172159314156
35,1,1.003989338874817,4.4253090891288593e-05,0.8161454200744629,2.340699575142935e-05,0,0.0,0.018777625635266304
36,1,2.7319061756134033,9.177544416161254e-05,2.6494174003601074,3.336663939990103e-05,0,0.0,0.008236350491642952
37,1,2.6982123851776123,7.092497253324836e-05,2.6690001487731934,5.132525257067755e-05,0,0.0,0.002909009577706456
38,1,1.3943672180175781,4.105161133338697e-05,1.384871244430542,7.94334991951473e-05,0,0.0,0.0009375570225529373
39,1,3.4752156734466553,0.00036038795951753855,3.4595766067504883,0.00010055021266452968,0,0.0,0.001517808297649026
40,1,3.5233778953552246,0.00036281978827901185,3.4891252517700195,0.00013358049909584224,0,0.0,0.0033756208140403032
41,1,1.9148132801055908,5.6094755564117804e-05,1.867474913597107,0.00018554291455075145,0,0.0,0.0047096689231693745
42,1,2.98539662361145,0.00011513790377648547,2.884403944015503,0.00021982040198054165,0,0.0,0.010065766051411629
43,1,2.3572018146514893,0.0001167280861409381,2.2219481468200684,0.0002592535747680813,0,0.0,0.013487763702869415
44,1,4.181073188781738,0.0001952299353433773,4.051820755004883,0.00030564164626412094,0,0.0,0.01287515927106142
45,1,5.3416852951049805,0.0002681364130694419,5.188009262084961,0.00034546380629763007,0,0.0,0.015306293033063412
46,1,3.150479555130005,0.0001950184814631939,2.940310001373291,0.00038218084955587983,0,0.0,0.020959239453077316
47,1,5.224412441253662,0.00022640243696514517,4.926132678985596,0.00042657650192268193,0,0.0,0.02976265363395214
48,1,7.653847694396973,0.0002548728371039033,7.321988582611084,0.0004724857572000474,0,0.0,0.03311316668987274
49,1,5.317808151245117,0.00011761586938519031,5.010664463043213,0.0005139450076967478,0,0.0,0.03065120242536068
50,1,4.1792778968811035,0.00011563015141291544,3.9280223846435547,0.0005461530527099967,0,0.0,0.025059381499886513
51,1,5.51851224899292,0.00035174639197066426,5.2547712326049805,0.000579842715524137,0,0.0,0.026280943304300308
52,1,5.3351335525512695,0.00041604944271966815,5.03704309463501,0.0006285124691203237,0,0.0,0.029704581946134567
53,1,4.592015743255615,0.00021582350018434227,4.271413803100586,0.0007023322978056967,0,0.0,0.031968362629413605
54,1,5.6654253005981445,3.7626967241521925e-05,5.383243560791016,0.0007886835373938084,0,0.0,0.028135541826486588
55,1,5.335812568664551,6.887289782753214e-05,5.067178249359131,0.0008617261773906648,0,0.0,0.026770392432808876
56,1,5.337056636810303,0.0003892605018336326,5.037197589874268,0.0009308292646892369,0,0.0,0.029853930696845055
57,1,5.521727085113525,0.00041820050682872534,5.219494819641113,0.0010418927995488048,0,0.0,0.030077235773205757
58,1,5.241464138031006,0.0001261148281628266,4.968747615814209,0.0011896712239831686,0,0.0,0.027140095829963684
59,1,5.240325450897217,0.0001596613001311198,4.962155818939209,0.0013335674302652478,0,0.0,0.027667628601193428
60,1,6.039097309112549,0.000486492644995451,5.760426044464111,0.0014670741511508822,0,0.0,0.027671752497553825
61,1,5.92266321182251,0.000428725965321064,5.666923522949219,0.0016362727619707584,0,0.0,0.025367431342601776
62,1,5.890552997589111,0.0001261989091290161,5.649744987487793,0.0018337331712245941,0,0.0,0.023884758353233337
63,1,6.030177593231201,0.00015298767539206892,5.7662787437438965,0.001990038203075528,0,0.0,0.02617558091878891
64,1,5.93253755569458,0.0003575749578885734,5.666689395904541,0.002065106760710478,0,0.0,0.02634255588054657
65,1,6.167516708374023,0.0002941620768979192,5.938800811767578,0.002106698462739587,0,0.0,0.02263149991631508
66,1,6.01908016204834,0.00020547954773064703,5.783021450042725,0.002196610439568758,0,0.0,0.023365644738078117
